ICMP_v4,Internet Control Message Protocol version 4,互联网控制报文协议第四版，用于IP网络中的控制消息。,,,,,,,,,,,,,,,,,
ICMP_v6,Internet Control Message Protocol version 6,互联网控制报文协议第六版，用于IPv6网络中的控制消息。,,,,,,,,,,,,,,,,,
IDP,Internet Datagram Protocol,互联网数据报协议，用于数据传输。,,,,,,,,,,,,,,,,,
IDPR,Inter-Domain Policy Routing Protocol,域间策略路由协议，用于网络路由。,,,,,,,,,,,,,,,,,
IDRP,Inter-Domain Routing Protocol,域间路由协议，用于网络路由。,,,,,,,,,,,,,,,,,
IFMP,Inter-Frame Protocol,帧间协议，用于数据传输。,,,,,,,,,,,,,,,,,
IGMP,Internet Group Management Protocol,互联网组管理协议，用于多播通信。,,,,,,,,,,,,,,,,,
IGRP,Interior Gateway Routing Protocol,内部网关路由协议，用于网络路由。,,,,,,,,,,,,,,,,,
IL,Inter-Link Protocol,链路间协议，用于网络连接。,,,,,,,,,,,,,,,,,
INSLP,Integrated Services Location Protocol,综合服务位置协议，用于定位服务。,,,,,,,,,,,,,,,,,
IPCV,Inter-Process Communication Version,进程间通信版本，用于进程通信。,,,,,,,,,,,,,,,,,
IPINIP,IP in IP Tunneling Protocol,IP中IP封装协议，用于网络隧道。,,,,,,,,,,,,,,,,,
IPLT,Internet Protocol Layer Testing Protocol,互联网协议层测试协议，用于网络测试。,,,,,,,,,,,,,,,,,
IPPC,Internet Protocol over CLNP,互联网协议在CLNP上的封装，用于网络通信。,,,,,,,,,,,,,,,,,
IPSec,Internet Protocol Security,互联网协议安全，用于网络加密。,,,,,,,,,,,,,,,,,
IPSec_ISAKMP,Internet Protocol Security with Internet Security Association and Key Management Protocol,互联网协议安全与互联网安全关联和密钥管理协议，用于网络加密和密钥管理。,,,,,,,,,,,,,,,,,
IRT,Internet Reliable Traversal,互联网可靠穿越，用于网络通信。,,,,,,,,,,,,,,,,,
ISIS,Intermediate System to Intermediate System Protocol,中间系统到中间系统协议，用于网络路由。,,,,,,,,,,,,,,,,,
KERBEROS,Kerberos Network Authentication Protocol,网络认证协议，用于网络安全认证。,,,,,,,,,,,,,,,,,
KRYPTOLA,KRYPTOKnight LAN Adapter Protocol,KRYPTOKnight LAN适配器协议，用于网络通信。,,,,,,,,,,,,,,,,,
L2TP,Layer 2 Tunneling Protocol,第二层隧道协议，用于网络隧道。,,,,,,,,,,,,,,,,,
LARP,"Link Access Procedure, Route Information Field Protocol",链路访问过程，路由信息字段协议，用于网络通信。,,,,,,,,,,,,,,,,,
LDAP,Lightweight Directory Access Protocol,轻量级目录访问协议，用于目录服务。,,,,,,,,,,,,,,,,,
LEAF1,Leaf 1 Protocol,叶子1协议，具体信息不详。,,,,,,,,,,,,,,,,,
LEAF2,Leaf 2 Protocol,叶子2协议，具体信息不详。,,,,,,,,,,,,,,,,,
LLMNR,Link-Local Multicast Name Resolution Protocol,链路本地多播名称解析协议，用于本地网络名称解析。,,,,,,,,,,,,,,,,,
LOTUS_NOTES,Lotus Notes Protocol,莲花笔记协议，用于Lotus Notes软件的通信。,,,,,,,,,,,,,,,,,
MAIL_IMAP,Internet Message Access Protocol,互联网消息访问协议，用于电子邮件访问。,,,,,,,,,,,,,,,,,
MAIL_POP,Post Office Protocol,邮局协议，用于电子邮件访问。,,,,,,,,,,,,,,,,,
MAIL_SMTP,Simple Mail Transfer Protocol,简单邮件传输协议,,,,,,,,,,,,,,,,,
MAIL_SMTP,Simple Mail Transfer Protocol,简单邮件传输协议，用于发送电子邮件。,,,,,,,,,,,,,,,,,
MANET,Mobile Ad-hoc NETwork protocol,移动自组织网络协议，用于临时网络的建立和通信。,,,,,,,,,,,,,,,,,
MDNS,Multicast Domain Name System,多播域名系统，用于局域网内的域名解析。,,,,,,,,,,,,,,,,,
MEGACO,Media Gateway Control Protocol,媒体网关控制协议，用于管理媒体网关。,,,,,,,,,,,,,,,,,
MERIT,The MERIT Computer Network,MERIT计算机网络，用于教育和研究的网络。,,,,,,,,,,,,,,,,,
MFE_NSP,Multicast Forwarding Enhancements (Non-Standard Protocol),多播转发增强（非标准协议），用于改进多播性能。,,,,,,,,,,,,,,,,,
MICP,Multicast Inter-subnet Communication Protocol,多播子网间通信协议，用于子网间的多播通信。,,,,,,,,,,,,,,,,,
MIP6,Mobile IPv6,移动IPv6，用于支持IPv6网络中的移动性。,,,,,,,,,,,,,,,,,
MOBILE,Mobile Networks Protocol,移动网络协议，用于移动通信。,,,,,,,,,,,,,,,,,
Modbus,Modbus Messaging Implementation for Electronic Devices,用于电子设备间通信的Modbus消息实现协议。,,,,,,,,,,,,,,,,,
MPLS,Multi-Protocol Label Switching,多协议标签交换，用于加速和形状网络流量。,,,,,,,,,,,,,,,,,
MTP,Message Transfer Part of the OSI Layers,OSI层的消息传输部分，用于消息传输。,,,,,,,,,,,,,,,,,
MUX,Multiplexing Protocol,多路复用协议，用于将多个数据流合并为一个。,,,,,,,,,,,,,,,,,
NBNS,NetBIOS Name Service,NetBIOS名称服务，用于NetBIOS网络上的名称解析。,,,,,,,,,,,,,,,,,
NCS,Network Control System Protocol,网络控制系统协议，用于网络管理。,,,,,,,,,,,,,,,,,
NDPI_BITTORRENT,Deep Packet Inspection for BitTorrent,用于识别和控制BitTorrent流量的深度数据包检查技术。,,,,,,,,,,,,,,,,,
NDPI_EDONKEY,Deep Packet Inspection for eDonkey,用于识别和控制eDonkey流量的深度数据包检查技术。,,,,,,,,,,,,,,,,,
NETFLOW,Cisco NetFlow Services Export Version 9,Cisco网络流量服务导出协议，用于网络流量分析。,,,,,,,,,,,,,,,,,
NFS,Network File System,网络文件系统，用于网络中的文件共享。,,,,,,,,,,,,,,,,,
NHRP,Next Hop Resolution Protocol,下一跳解析协议，用于移动网络中确定下一跳地址。,,,,,,,,,,,,,,,,,
NNTP,Network News Transfer Protocol,网络新闻传输协议，用于新闻组服务。,,,,,,,,,,,,,,,,,
NOE,Not Otherwise Enumerated,通常用于分类中，表示某些未在其他分类中列出的项目或情况。,,,,,,,,,,,,,,,,,
NONE,None,表示没有或不存在某个特定的项目、协议或情况。,,,,,,,,,,,,,,,,,
NSFNETIG,NSFNET Internet Gateway,NSFNET互联网网关协议，用于早期的NSFNET网络。,,,,,,,,,,,,,,,,,
NTP,Network Time Protocol,网络时间协议，用于同步网络设备的时钟。,,,,,,,,,,,,,,,,,
NVPII,Non-Volatile Priority II,非易失性优先级II，可能与网络设备优先级有关。,,,,,,,,,,,,,,,,,
OPENVPN,OpenVPN Protocol,开放式虚拟专用网络协议，用于建立安全的VPN连接。,,,,,,,,,,,,,,,,,
ORACLE_TNS,Oracle Transparent Network Substrate,Oracle透明网络底层，用于Oracle数据库的网络通信。,,,,,,,,,,,,,,,,,
OSCAR,"Online System for Cable Creation, Access, and Retrieval",用于有线网络内容创建、访问和检索的系统。,,,,,,,,,,,,,,,,,
OSI,Open Systems Interconnection,开放系统互联，一种网络通信模型。,,,,,,,,,,,,,,,,,
OSPF,Open Shortest Path First,开放最短路径优先，一种内部网关协议。,,,,,,,,,,,,,,,,,
PGM,Pragmatic General Multicast,实用通用多播，用于可靠多播传输。,,,,,,,,,,,,,,,,,
PIPE,PIPE Protocol,PIPE协议，具体信息不详。,,,,,,,,,,,,,,,,,
PNNI,Private Network-to-Network Interface,私有网络到网络接口，用于电信网络。,,,,,,,,,,,,,,,,,
PPTP,Point-to-Point Tunneling Protocol,点对点隧道协议，用于建立VPN连接。,,,,,,,,,,,,,,,,,
PRM,Policy Routing Protocol,策略路由协议，用于基于策略的路由决策。,,,,,,,,,,,,,,,,,
PTP,Precision Time Protocol,精确时间协议，用于高精度时间同步。,,,,,,,,,,,,,,,,,
PUP,PUP Protocol,PUP协议，早期的简单文件传输协议。,,,,,,,,,,,,,,,,,
PVP,Packet Video Protocol,数据包视频协议，用于视频传输。,,,,,,,,,,,,,,,,,
QNX,QNX Real-Time Operating System Network Protocol,QNX实时操作系统网络协议，用于嵌入式系统。,,,,,,,,,,,,,,,,,
RADIUS,Remote Authentication Dial In User Service,远程认证拨号用户服务，用于网络访问控制。,,,,,,,,,,,,,,,,,
RDP,Remote Desktop Protocol,远程桌面协议，用于远程控制计算机。,,,,,,,,,,,,,,,,,
ROHC,Robust Header Compression,健壮头压缩，用于减少网络流量。,,,,,,,,,,,,,,,,,
ROUTING,Routing Protocol,路由协议，用于网络路由决策。,,,,,,,,,,,,,,,,,
RSVP,Resource Reservation Protocol,资源预留协议，用于网络资源预留。,,,,,,,,,,,,,,,,,
RTSP,Real Time Streaming Protocol,实时流媒体协议，用于流媒体传输。,,,,,,,,,,,,,,,,,
RVD,Reverse DNS Lookup Protocol,反向DNS查找协议，用于将IP地址解析为域名。,,,,,,,,,,,,,,,,,
SATEXPAK,SATNET Monitoring System Packet,SATNET监控系统数据包，用于卫星网络监控。,,,,,,,,,,,,,,,,,
SATMON,Satellite Network Monitoring Protocol,卫星网络监控协议，用于监控卫星网络。,,,,,,,,,,,,,,,,,
SCCCP,Simple and Efficient Adaptation Layer,简单高效的适配层，用于数据传输。,,,,,,,,,,,,,,,,,
SCPS,Service Coordination Protocol Specification,服务协调协议规范，用于服务协调。,,,,,,,,,,,,,,,,,
SDRP,Source Demand Routing Protocol,源需求路由协议，用于网络路由。,,,,,,,,,,,,,,,,,
SHIM6,Shim Layer 6 Protocol,第六层过渡协议，用于IPv4和IPv6之间的过渡。,,,,,,,,,,,,,,,,,
SHIM6_OL,Shim6 Option for Overlays,Shim6用于覆盖网络的选项。,,,,,,,,,,,,,,,,,
SKIP,Simple Key-Management for Internet Protocol,互联网协议的简单密钥管理，用于网络安全。,,,,,,,,,,,,,,,,,
SKYPE,Skype Protocol,Skype通信协议，用于Skype网络电话服务。,,,,,,,,,,,,,,,,,
SM,Service Management,服务管理，用于网络服务管理。,,,,,,,,,,,,,,,,,
SMB,Server Message Block Protocol,服务器消息块协议，用于文件和打印服务。,,,,,,,,,,,,,,,,,
SMP,Simple Mail Protocol,简单邮件协议，用于电子邮件传输。,,,,,,,,,,,,,,,,,
SNMP,Simple Network Management Protocol,简单网络管理协议，用于网络管理。,,,,,,,,,,,,,,,,,
SNP,Subnetwork Access Protocol,子网访问协议，用于网络访问。,,,,,,,,,,,,,,,,,
SPRITE,Sprite Network Protocol,Sprite网络协议，用于网络通信。,,,,,,,,,,,,,,,,,
SPS,Secure Packet Shield Protocol,安全数据包屏蔽协议，用于网络安全。,,,,,,,,,,,,,,,,,
SRP,Secure Remote Password Protocol,安全远程密码协议，用于密码认证。,,,,,,,,,,,,,,,,,
SSCOPMCE,Signaling System 7 Outgoing Call Processing - Mobile Call Edited,信号系统7出呼叫处理 - 移动呼叫编辑，用于电信网络。,,,,,,,,,,,,,,,,,
SSH,Secure Shell Protocol,安全外壳协议，用于安全远程登录和其他安全网络服务。,,,,,,,,,,,,,,,,,
SSL,Secure Sockets Layer,安全套接层，用于网络通信的加密。,,,,,,,,,,,,,,,,,
STP,Spanning Tree Protocol,生成树协议，用于防止网络环路。,,,,,,,,,,,,,,,,,
STREAM,STREAM Protocol,STREAM协议，用于数据流传输。,,,,,,,,,,,,,,,,,
STUN,Session Traversal Utilities for NAT,NAT会话穿越实用工具，用于NAT穿越。,,,,,,,,,,,,,,,,,
SUNND,Sun Network Daemons Protocol,Sun网络守护进程协议，用于Sun网络服务。,,,,,,,,,,,,,,,,,
SVMTP,Simple Virtual Memory Protocol,简单虚拟内存传输协议，用于虚拟内存管理。,,,,,,,,,,,,,,,,,
SWIPE,SWIPE Protocol,SWIPE协议，用于移动支付。,,,,,,,,,,,,,,,,,
TCF,Traffic Control Facility,流量控制设施，用于网络流量管理。,,,,,,,,,,,,,,,,,
TDS,Tabular Data Stream Protocol,表格数据流协议，用于数据传输。,,,,,,,,,,,,,,,,,
Telnet,Teletype Network Protocol,远程登录协议，用于远程登录到网络设备。,,,,,,,,,,,,,,,,,
Tencent_OICQ,Tencent_OICQ,腾讯公司的即时通讯软件，最初被称为OICQ，后改名为QQ,,,,,,,,,,,,,,,,,
TFTP,Trivial File Transfer Protocol,简单文件传输协议，用于文件传输。,,,,,,,,,,,,,,,,,
TLSP,Transport Layer Security Protocol,传输层安全协议，用于网络通信的加密。,,,,,,,,,,,,,,,,,
TPPP,Third Party Patch Protocol,第三方补丁协议，用于软件更新。,,,,,,,,,,,,,,,,,
TRUNK1,Trunk 1 Protocol,干线1协议，用于网络连接。,,,,,,,,,,,,,,,,,
TRUNK2,Trunk 2 Protocol,干线2协议，用于网络连接。,,,,,,,,,,,,,,,,,
TTP,Time-Triggered Protocol,时间触发协议，用于嵌入式系统。,,,,,,,,,,,,,,,,,
UTI,Universal Transport Interface,通用传输接口，用于网络通信。,,,,,,,,,,,,,,,,,
VINES,Virtual Network System,虚拟网络系统，用于网络通信。,,,,,,,,,,,,,,,,,
VISA,Virtual Integrated Software Architecture,虚拟集成软件架构，用于软件设计。,,,,,,,,,,,,,,,,,
VMTP,Versatile Message Transaction Protocol,多功能消息事务处理协议，用于网络事务处理。,,,,,,,,,,,,,,,,,
VNC,Virtual Network Computing,虚拟网络计算，一种远程桌面协议，允许用户远程控制另一台计算机。,,,,,,,,,,,,,,,,,
VOIP,Voice over Internet Protocol,互联网协议语音，一种通过互联网发送语音通信的技术。,,,,,,,,,,,,,,,,,
VRRP,Virtual Router Redundancy Protocol,虚拟路由器冗余协议，用于提供高可用性的路由服务。,,,,,,,,,,,,,,,,,
WakeOnLan,Wake-on-LAN,一种网络功能，允许远程开启计算机。,,,,,,,,,,,,,,,,,
WBEXPAK,Wellfleet Protocol for EXPAK,Wellfleet网络协议的EXPAK版本，用于数据传输。,,,,,,,,,,,,,,,,,
WBMON,Wellfleet Network Monitoring,Wellfleet网络监控，用于监控Wellfleet网络设备。,,,,,,,,,,,,,,,,,
WESP,Wireless Encryption Security Protocol,无线加密安全协议，用于无线网络的安全。,,,,,,,,,,,,,,,,,
WSN,Wireless Sensor Network,无线传感器网络，用于收集和发送传感器数据。,,,,,,,,,,,,,,,,,
XNET,eXtreme Net,华为为其OceanStor存储系统开发的交换协议,,,,,,,,,,,,,,,,,
XTP,Xpress Transfer Protocol,Xpress传输协议，一种用于数据传输的协议。,,,,,,,,,,,,,,,,,
